rms,zcr,peak,label
0.04,0.1583,0.5495,bantingan
0.0392,0.1894,0.269,teriakan
0.0413,0.1924,0.2776,teriakan
0.0819,0.096,0.2876,bantingan
0.0661,0.0853,0.2788,bantingan
0.0862,0.1271,0.3161,bantingan
0.0778,0.1335,0.2748,teriakan
0.0744,0.0718,0.2546,bantingan
0.0646,0.0687,0.2488,bantingan
0.0805,0.1402,0.2739,teriakan
0.0881,0.1376,0.2842,teriakan
0.1022,0.1042,0.3208,bantingan
0.0588,0.1325,0.4157,bantingan
0.0541,0.1245,0.5318,bantingan
0.0578,0.0858,0.4526,bantingan
0.035,0.2061,0.375,bantingan
0.071,0.1334,0.53,bantingan
0.1321,0.1259,0.6304,bantingan
0.0669,0.1273,0.3375,bantingan
0.0504,0.1995,0.3572,bantingan
0.0522,0.1512,0.5592,bantingan
0.1361,0.0742,0.6128,bantingan
0.1288,0.0707,0.6173,bantingan
0.0403,0.0801,0.2593,bantingan
0.0941,0.1282,0.3872,bantingan
0.096,0.1045,0.3749,bantingan
0.0682,0.097,0.3145,bantingan
0.0551,0.0925,0.3476,bantingan
0.1085,0.0801,0.3803,bantingan
0.0576,0.0738,0.3046,bantingan
0.0881,0.122,0.3438,bantingan
0.0548,0.0874,0.2803,bantingan
0.0684,0.0829,0.4024,bantingan
0.1005,0.1136,0.3873,bantingan
0.0976,0.1543,0.3813,bantingan
0.1156,0.0698,0.4744,bantingan
0.1068,0.0681,0.4648,bantingan
0.0929,0.1599,0.6294,bantingan
0.069,0.1269,0.6996,bantingan
0.0361,0.1134,0.3684,bantingan
0.058,0.1241,0.3267,bantingan
0.0574,0.1553,0.3847,bantingan
0.0509,0.0937,0.3585,bantingan
0.1134,0.0995,0.8073,bantingan
0.1001,0.15,0.699,bantingan
0.0296,0.1194,0.1788,bantingan
0.1642,0.1369,0.8188,bantingan
0.1812,0.1433,0.9482,bantingan
0.1899,0.1285,0.8303,bantingan
0.1952,0.1344,0.8376,bantingan
0.1704,0.1205,0.7053,bantingan
0.1339,0.1141,0.7762,bantingan
0.1612,0.1366,0.8974,bantingan
0.2677,0.1188,0.9147,bantingan
0.147,0.1563,0.8229,bantingan
0.2188,0.1259,0.8177,bantingan
0.2297,0.1325,0.8468,bantingan
0.247,0.1192,0.8522,bantingan
0.082,0.0789,0.4692,bantingan
0.1063,0.0634,0.5149,bantingan
0.0605,0.0675,0.5039,bantingan
0.1415,0.114,0.7463,normal
0.1123,0.1065,0.6297,normal
0.1447,0.1236,0.6193,normal
0.1041,0.1191,0.5883,normal
0.0184,0.113,0.1388,normal
0.0346,0.1197,0.2798,normal
0.0433,0.0918,0.3176,normal
0.0842,0.209,0.342,normal
0.0393,0.2035,0.2793,normal
0.0903,0.2182,0.3353,normal
0.0771,0.1793,0.3344,normal
0.0797,0.1758,0.3375,normal
0.0846,0.2102,0.3489,normal
0.1724,0.1492,0.7228,normal
0.1877,0.1228,0.7208,normal
0.1936,0.1097,0.8157,normal
0.0511,0.1852,0.6384,normal
0.0098,0.161,0.1632,normal
0.0661,0.0879,0.474,normal
0.1319,0.1117,0.4993,normal
0.0608,0.0688,0.4427,normal
0.0895,0.0856,0.4942,normal
0.1526,0.1102,0.4854,normal
0.1526,0.1197,0.5294,normal
0.1088,0.1286,0.8444,normal
0.0805,0.1204,0.6268,normal
